ItemStemID,ItemStemLanguage,Respondent,ItemStemContentID,ItemStemFullText,ItemStemSource
1,1,1,1,"I am afraid of being in crowded places (like shopping centers, the movies, buses, busy playgrounds)",
2,1,1,2,I feel afraid that I will make a fool of myself in front of people,
3,1,1,3,I feel afraid if I have to talk in front of my class,
4,1,1,4,I get bothered by bad or silly thoughts or pictures in my mind,
5,1,1,5,I cannot think clearly,
6,1,1,6,I can't seem to get bad or silly thoughts out of my head,
7,1,1,7,I would feel afraid of being on my own at home,
8,1,1,8,I worry about being away from my parents,
9,1,1,9,I feel like I don’t want to move,
10,1,1,10,Nothing is much fun anymore,
11,1,1,11,I feel restless,
12,1,1,12,I feel sad or empty,
13,1,1,13,I am tired a lot,
14,1,1,14,I feel worried when I think someone is angry with me,
15,1,1,15,I feel worthless,
16,1,1,16,I have no energy for things,
17,1,1,17,I have problems with my appetite,
18,1,1,18,I have to do some things in just the right way to stop bad things from happening,
19,1,1,19,"I have to do some things over and over again (like washing my hands, cleaning or putting things in a certain order)",
20,1,1,20,I have to think of special thoughts (like numbers or words) to stop bad things from happening,
21,1,1,21,I have trouble sleeping,
22,1,1,22,My heart suddenly starts to beat too quickly for no reason,
23,1,1,23,"I have to keep checking that I have done things right (like the switch is off, or the door is locked)",
24,1,1,24,I feel scared if I have to sleep on my own,
25,1,1,25,I would feel scared if I had to stay away from home overnight,
26,1,1,26,I feel scared when I have to take a test,
27,1,1,27,I suddenly become dizzy or faint when there is no reason for this,
28,1,1,28,All of a sudden I feel really scared for no reason at all,
29,1,1,29,I suddenly feel as if I can't breathe when there is no reason for this,
30,1,1,30,I suddenly start to tremble or shake when there is no reason for this,
31,1,1,31,I think about death,
32,1,1,32,I have trouble going to school in the mornings because I feel nervous or afraid,
33,1,1,33,"When I have a problem, I feel shaky",
34,1,1,34,"When I have a problem, my heart beats really fast",
35,1,1,35,"When I have a problem, I get a funny feeling in my stomach",
36,1,1,36,I worry about making mistakes,
37,1,1,37,I worry about things,
38,1,1,38,I worry about what is going to happen,
39,1,1,39,I worry that bad things will happen to me,
40,1,1,40,I worry when I go to bed at night,
41,1,1,41,I worry I might look foolish,
42,1,1,42,I worry that something awful will happen to someone in my family,
43,1,1,43,I worry that something bad will happen to me,
44,1,1,44,I worry what other people think of me,
45,1,1,45,I worry when I think I have done poorly at something,
46,1,1,46,I worry that I will do badly at my school work,
47,1,1,47,I worry that I will suddenly get a scared feeling when there is nothing to be afraid of,
48,1,2,1,"My child is afraid of being in crowded places (like shopping centers, the movies, buses, busy playgrounds)",
49,1,2,2,My child feels afraid that he/she will make a fool of him/herself in front of people,
50,1,2,3,My child feels afraid if he/she has to talk in front of the class,
51,1,2,4,My child is bothered by bad or silly thoughts or pictures in his/her mind,
52,1,2,5,My child cannot think clearly,
53,1,2,6,My child can't seem to get bad or silly thoughts out of his/her head,
54,1,2,7,My child feels afraid of being alone at home,
55,1,2,8,My child worries about being away from me,
56,1,2,9,My child feels like he/she doesn’t want to move,
57,1,2,10,Nothing is much fun for my child anymore,
58,1,2,11,My child feels restless,
59,1,2,12,My child feels sad or empty,
60,1,2,13,My child is tired a lot,
61,1,2,14,My child worries when he/she thinks someone is angry with him/her,
62,1,2,15,My child feels worthless,
63,1,2,16,My child has no energy for things,
64,1,2,17,My child has problems with his/her appetite,
65,1,2,18,My child has to do some things in just the right way to stop bad things from happening,
66,1,2,19,"My child has to do some things over and over again (like washing hands, cleaning, or putting things in a certain order)",
67,1,2,20,My child has to think of special thoughts (like numbers or words) to stop bad things from happening,
68,1,2,21,My child has trouble sleeping,
69,1,2,22,My child’s heart suddenly starts to beat too quickly for no reason,
70,1,2,23,"My child has to keep checking that he/she has done things right (like the switch is off, or the door is locked)",
71,1,2,24,My child feels scared to sleep on his/her own,
72,1,2,25,My child would feel scared if he/she had to stay away from home overnight,
73,1,2,26,My child feels scared when taking a test,
74,1,2,27,My child suddenly becomes dizzy or faint when there is no reason for this,
75,1,2,28,All of a sudden my child will feel really scared for no reason at all,
76,1,2,29,My child suddenly feels as if he/she can't breathe when there is no reason for this,
77,1,2,30,My child suddenly starts to tremble or shake when there is no reason for this,
78,1,2,31,My child thinks about death,
79,1,2,32,My child has trouble going to school in the mornings because of feeling nervous or afraid,
80,1,2,33,"When my child has a problem, he/she feels shaky",
81,1,2,34,"When my child has a problem, his/her heart beats really fast",
82,1,2,35,"When my child has a problem, he/she gets a funny feeling in his/her stomach",
83,1,2,36,My child worries about making mistakes,
84,1,2,37,My child worries about things,
